Sectorizacion;Sector;Volumen;Nucleo
5D;LECPAPP;APP;Palma APP
5D;LECPF1O;DE1;Palma APP
5D;LECPF1O;DW1;Palma APP
5D;LECPF1O;LNX;Palma APP
5D;LECPF1O;OXX;Palma APP
5D;LECPF2X;DE2;Palma APP
5D;LECPF2X;DSX;Palma APP
5D;LECPF2X;DW2;Palma APP
5D;LECPF2X;LSX;Palma APP
5D;LECPGIX;GXX;Palma APP
5D;LECPGIX;IA06;Palma APP
5D;LECPGIX;IA24;Palma APP
5D;LECPGIX;IAX;Palma APP
5D;LECPGIX;IRX;Palma APP
5D;LECPMXX;MXX;Palma APP
5E;LECPAPP;APP;Palma APP
5E;LECPF1X;DE1;Palma APP
5E;LECPF1X;DW1;Palma APP
5E;LECPF1X;LNX;Palma APP
5E;LECPF2X;DE2;Palma APP
5E;LECPF2X;DSX;Palma APP
5E;LECPF2X;DW2;Palma APP
5E;LECPF2X;LSX;Palma APP
5E;LECPGIO;GXX;Palma APP
5E;LECPGIO;IA06;Palma APP
5E;LECPGIO;IA24;Palma APP
5E;LECPGIO;IAX;Palma APP
5E;LECPGIO;IRX;Palma APP
5E;LECPGIO;OXX;Palma APP
5E;LECPMXX;MXX;Palma APP
5F;LECPAPP;APP;Palma APP
5F;LECPF1O;DE1;Palma APP
5F;LECPF1O;DW1;Palma APP
5F;LECPF1O;LNX;Palma APP
5F;LECPF1O;OXX;Palma APP
5F;LECPF2X;DE2;Palma APP
5F;LECPF2X;DSX;Palma APP
5F;LECPF2X;DW2;Palma APP
5F;LECPF2X;LSX;Palma APP
5F;LECPGMX;GXX;Palma APP
5F;LECPGMX;MXX;Palma APP
5F;LECPIXX;IA06;Palma APP
5F;LECPIXX;IA24;Palma APP
5F;LECPIXX;IAX;Palma APP
5F;LECPIXX;IRX;Palma APP
5G;LECPAPP;APP;Palma APP
5G;LECPF1X;DE1;Palma APP
5G;LECPF1X;DW1;Palma APP
5G;LECPF1X;LNX;Palma APP
5G;LECPF2M;DE2;Palma APP
5G;LECPF2M;DSX;Palma APP
5G;LECPF2M;DW2;Palma APP
5G;LECPF2M;LSX;Palma APP
5G;LECPF2M;MXX;Palma APP
5G;LECPGOX;GXX;Palma APP
5G;LECPGOX;OXX;Palma APP
5G;LECPIXX;IA06;Palma APP
5G;LECPIXX;IA24;Palma APP
5G;LECPIXX;IAX;Palma APP
5G;LECPIXX;IRX;Palma APP
5H;LECPAPP;APP;Palma APP
5H;LECPF1O;DE1;Palma APP
5H;LECPF1O;DW1;Palma APP
5H;LECPF1O;LNX;Palma APP
5H;LECPF1O;OXX;Palma APP
5H;LECPF2M;DE2;Palma APP
5H;LECPF2M;DSX;Palma APP
5H;LECPF2M;DW2;Palma APP
5H;LECPF2M;LSX;Palma APP
5H;LECPF2M;MXX;Palma APP
5H;LECPGXX;GXX;Palma APP
5H;LECPIXX;IA06;Palma APP
5H;LECPIXX;IA24;Palma APP
5H;LECPIXX;IAX;Palma APP
5H;LECPIXX;IRX;Palma APP
6A;LECPAPP;APP;Palma APP
6A;LECPF1X;DE1;Palma APP
6A;LECPF1X;DW1;Palma APP
6A;LECPF1X;LNX;Palma APP
6A;LECPF2X;DE2;Palma APP
6A;LECPF2X;DSX;Palma APP
6A;LECPF2X;DW2;Palma APP
6A;LECPF2X;LSX;Palma APP
6A;LECPGOX;GXX;Palma APP
6A;LECPGOX;OXX;Palma APP
6A;LECPIXX;IA06;Palma APP
6A;LECPIXX;IA24;Palma APP
6A;LECPIXX;IAX;Palma APP
6A;LECPIXX;IRX;Palma APP
6A;LECPMXX;MXX;Palma APP
6B;LECPAPP;APP;Palma APP
6B;LECPF1O;DE1;Palma APP
6B;LECPF1O;DW1;Palma APP
6B;LECPF1O;LNX;Palma APP
6B;LECPF1O;OXX;Palma APP
6B;LECPF2X;DE2;Palma APP
6B;LECPF2X;DSX;Palma APP
6B;LECPF2X;DW2;Palma APP
6B;LECPF2X;LSX;Palma APP
6B;LECPGXX;GXX;Palma APP
6B;LECPIXX;IA06;Palma APP
6B;LECPIXX;IA24;Palma APP
6B;LECPIXX;IAX;Palma APP
6B;LECPIXX;IRX;Palma APP
6B;LECPMXX;MXX;Palma APP
6C;LECPAPP;APP;Palma APP
6C;LECPDEX;DE1;Palma APP
6C;LECPDEX;DE2;Palma APP
6C;LECPDEX;DSX;Palma APP
6C;LECPGIO;GXX;Palma APP
6C;LECPGIO;IA06;Palma APP
6C;LECPGIO;IA24;Palma APP
6C;LECPGIO;IAX;Palma APP
6C;LECPGIO;IRX;Palma APP
6C;LECPGIO;OXX;Palma APP
6C;LECPL1E;DW1;Palma APP
6C;LECPL1E;LNX;Palma APP
6C;LECPL2E;DW2;Palma APP
6C;LECPL2E;LSX;Palma APP
6C;LECPMXX;MXX;Palma APP
6D;LECPAPP;APP;Palma APP
6D;LECPDWX;DSX;Palma APP
6D;LECPDWX;DW1;Palma APP
6D;LECPDWX;DW2;Palma APP
6D;LECPGIO;GXX;Palma APP
6D;LECPGIO;IA06;Palma APP
6D;LECPGIO;IA24;Palma APP
6D;LECPGIO;IAX;Palma APP
6D;LECPGIO;IRX;Palma APP
6D;LECPGIO;OXX;Palma APP
6D;LECPL1W;DE1;Palma APP
6D;LECPL1W;LNX;Palma APP
6D;LECPL2W;DE2;Palma APP
6D;LECPL2W;LSX;Palma APP
6D;LECPMXX;MXX;Palma APP
6E;LECPAPP;APP;Palma APP
6E;LECPDEX;DE1;Palma APP
6E;LECPDEX;DE2;Palma APP
6E;LECPDEX;DSX;Palma APP
6E;LECPGOM;GXX;Palma APP
6E;LECPGOM;MXX;Palma APP
6E;LECPGOM;OXX;Palma APP
6E;LECPIXX;IA06;Palma APP
6E;LECPIXX;IA24;Palma APP
6E;LECPIXX;IAX;Palma APP
6E;LECPIXX;IRX;Palma APP
6E;LECPL1E;DW1;Palma APP
6E;LECPL1E;LNX;Palma APP
6E;LECPL2E;DW2;Palma APP
6E;LECPL2E;LSX;Palma APP
6F;LECPAPP;APP;Palma APP
6F;LECPDWX;DSX;Palma APP
6F;LECPDWX;DW1;Palma APP
6F;LECPDWX;DW2;Palma APP
6F;LECPGOM;GXX;Palma APP
6F;LECPGOM;MXX;Palma APP
6F;LECPGOM;OXX;Palma APP
6F;LECPIXX;IA06;Palma APP
6F;LECPIXX;IA24;Palma APP
6F;LECPIXX;IAX;Palma APP
6F;LECPIXX;IRX;Palma APP
6F;LECPL1W;DE1;Palma APP
6F;LECPL1W;LNX;Palma APP
6F;LECPL2W;DE2;Palma APP
6F;LECPL2W;LSX;Palma APP
6G;LECPAPP;APP;Palma APP
6G;LECPDEO;DE1;Palma APP
6G;LECPDEO;DE2;Palma APP
6G;LECPDEO;DSX;Palma APP
6G;LECPDEO;OXX;Palma APP
6G;LECPGIX;GXX;Palma APP
6G;LECPGIX;IA06;Palma APP
6G;LECPGIX;IA24;Palma APP
6G;LECPGIX;IAX;Palma APP
6G;LECPGIX;IRX;Palma APP
6G;LECPL1E;DW1;Palma APP
6G;LECPL1E;LNX;Palma APP
6G;LECPL2E;DW2;Palma APP
6G;LECPL2E;LSX;Palma APP
6G;LECPMXX;MXX;Palma APP
6H;LECPAPP;APP;Palma APP
6H;LECPDWO;DSX;Palma APP
6H;LECPDWO;DW1;Palma APP
6H;LECPDWO;DW2;Palma APP
6H;LECPDWO;OXX;Palma APP
6H;LECPGIX;GXX;Palma APP
6H;LECPGIX;IA06;Palma APP
6H;LECPGIX;IA24;Palma APP
6H;LECPGIX;IAX;Palma APP
6H;LECPGIX;IRX;Palma APP
6H;LECPL1W;DE1;Palma APP
6H;LECPL1W;LNX;Palma APP
6H;LECPL2W;DE2;Palma APP
6H;LECPL2W;LSX;Palma APP
6H;LECPMXX;MXX;Palma APP
6I;LECPAPP;APP;Palma APP
6I;LECPDEO;DE1;Palma APP
6I;LECPDEO;DE2;Palma APP
6I;LECPDEO;DSX;Palma APP
6I;LECPDEO;OXX;Palma APP
6I;LECPGMX;GXX;Palma APP
6I;LECPGMX;MXX;Palma APP
6I;LECPIXX;IA06;Palma APP
6I;LECPIXX;IA24;Palma APP
6I;LECPIXX;IAX;Palma APP
6I;LECPIXX;IRX;Palma APP
6I;LECPL1E;DW1;Palma APP
6I;LECPL1E;LNX;Palma APP
6I;LECPL2E;DW2;Palma APP
6I;LECPL2E;LSX;Palma APP
6J;LECPAPP;APP;Palma APP
6J;LECPDWO;DSX;Palma APP
6J;LECPDWO;DW1;Palma APP
6J;LECPDWO;DW2;Palma APP
6J;LECPDWO;OXX;Palma APP
6J;LECPGMX;GXX;Palma APP
6J;LECPGMX;MXX;Palma APP
6J;LECPIXX;IA06;Palma APP
6J;LECPIXX;IA24;Palma APP
6J;LECPIXX;IAX;Palma APP
6J;LECPIXX;IRX;Palma APP
6J;LECPL1W;DE1;Palma APP
6J;LECPL1W;LNX;Palma APP
6J;LECPL2W;DE2;Palma APP
6J;LECPL2W;LSX;Palma APP
6K;LECPAPP;APP;Palma APP
6K;LECPF1O;DE1;Palma APP
6K;LECPF1O;DW1;Palma APP
6K;LECPF1O;LNX;Palma APP
6K;LECPF1O;OXX;Palma APP
6K;LECPF2X;DE2;Palma APP
