Sectorizacion;Sector;Volumen;Ruta
3BE;LEBL12XE;BL1;Barcelona TMA
3BE;LEBL12XE;BL2;Barcelona TMA
3BE;LEBL12XE;FWL;Barcelona TMA
3BE;LEBL12XE;FWR;Barcelona TMA
3BE;LEBL12XE;GARI;Barcelona TMA
3BE;LEBL12XE;GR1;Barcelona TMA
3BE;LEBL12XE;GR2;Barcelona TMA
3BE;LEBL12XE;GR3;Barcelona TMA
3BE;LEBL12XE;XAR;Barcelona TMA
3BE;LEBL34DE;DDN;Barcelona TMA
3BE;LEBL34DE;DDS;Barcelona TMA
3BE;LEBL34DE;FES;Barcelona TMA
3BE;LEBL34DE;GONA;Barcelona TMA
3BE;LEBL34DE;NW4;Barcelona TMA
3BE;LEBL34DE;SABA;Barcelona TMA
3BE;LEBL34DE;SW3;Barcelona TMA
3BE;LEBL34DE;VIBI;Barcelona TMA
3BE;LEBLF07;FEL;Barcelona TMA
3BE;LEBLF07;FEN;Barcelona TMA
3BE;LEBLF07;FER;Barcelona TMA
3BN;LEBL134N;BL1;Barcelona TMA
3BN;LEBL134N;FEL;Barcelona TMA
3BN;LEBL134N;FER;Barcelona TMA
3BN;LEBL134N;FWR;Barcelona TMA
3BN;LEBL134N;GONA;Barcelona TMA
3BN;LEBL134N;GR1;Barcelona TMA
3BN;LEBL134N;NW4;Barcelona TMA
3BN;LEBL134N;SABA;Barcelona TMA
3BN;LEBL134N;SW3;Barcelona TMA
3BN;LEBL2FN;BL2;Barcelona TMA
3BN;LEBL2FN;FEN;Barcelona TMA
3BN;LEBL2FN;FES;Barcelona TMA
3BN;LEBL2FN;FWL;Barcelona TMA
3BN;LEBL2FN;GARI;Barcelona TMA
3BN;LEBL2FN;GR2;Barcelona TMA
3BN;LEBL2FN;VIBI;Barcelona TMA
3BN;LEBLDDX;DDN;Barcelona TMA
3BN;LEBLDDX;DDS;Barcelona TMA
3BN;LEBLDDX;GR3;Barcelona TMA
3BN;LEBLDDX;XAR;Barcelona TMA
3BW;LEBL134W;BL1;Barcelona TMA
3BW;LEBL134W;FEL;Barcelona TMA
3BW;LEBL134W;FEN;Barcelona TMA
3BW;LEBL134W;FER;Barcelona TMA
3BW;LEBL134W;FES;Barcelona TMA
3BW;LEBL134W;GARI;Barcelona TMA
3BW;LEBL134W;GONA;Barcelona TMA
3BW;LEBL134W;GR1;Barcelona TMA
3BW;LEBL134W;NW4;Barcelona TMA
3BW;LEBL134W;SABA;Barcelona TMA
3BW;LEBL134W;SW3;Barcelona TMA
3BW;LEBL2FIW;BL2;Barcelona TMA
3BW;LEBL2FIW;FWL;Barcelona TMA
3BW;LEBL2FIW;FWR;Barcelona TMA
3BW;LEBL2FIW;GR2;Barcelona TMA
3BW;LEBL2FIW;VIBI;Barcelona TMA
3BW;LEBLDDX;DDN;Barcelona TMA
3BW;LEBLDDX;DDS;Barcelona TMA
3BW;LEBLDDX;GR3;Barcelona TMA
3BW;LEBLDDX;XAR;Barcelona TMA
3CE;LEB1234E;BL1;Barcelona TMA
3CE;LEB1234E;BL2;Barcelona TMA
3CE;LEB1234E;FES;Barcelona TMA
3CE;LEB1234E;FWL;Barcelona TMA
3CE;LEB1234E;FWR;Barcelona TMA
3CE;LEB1234E;GARI;Barcelona TMA
3CE;LEB1234E;GONA;Barcelona TMA
3CE;LEB1234E;GR1;Barcelona TMA
3CE;LEB1234E;GR2;Barcelona TMA
3CE;LEB1234E;NW4;Barcelona TMA
3CE;LEB1234E;SABA;Barcelona TMA
3CE;LEB1234E;SW3;Barcelona TMA
3CE;LEB1234E;VIBI;Barcelona TMA
3CE;LEBLDDX;DDN;Barcelona TMA
3CE;LEBLDDX;DDS;Barcelona TMA
3CE;LEBLDDX;GR3;Barcelona TMA
3CE;LEBLDDX;XAR;Barcelona TMA
3CE;LEBLF07;FEL;Barcelona TMA
3CE;LEBLF07;FEN;Barcelona TMA
3CE;LEBLF07;FER;Barcelona TMA
3CN;LEBL124N;BL1;Barcelona TMA
3CN;LEBL124N;BL2;Barcelona TMA
3CN;LEBL124N;FEL;Barcelona TMA
3CN;LEBL124N;FWL;Barcelona TMA
3CN;LEBL124N;FWR;Barcelona TMA
3CN;LEBL124N;GARI;Barcelona TMA
3CN;LEBL124N;GONA;Barcelona TMA
3CN;LEBL124N;GR1;Barcelona TMA
3CN;LEBL124N;GR2;Barcelona TMA
3CN;LEBL124N;NW4;Barcelona TMA
3CN;LEBL124N;SABA;Barcelona TMA
3CN;LEBL124N;VIBI;Barcelona TMA
3CN;LEBL3FN;FEN;Barcelona TMA
3CN;LEBL3FN;FER;Barcelona TMA
3CN;LEBL3FN;FES;Barcelona TMA
3CN;LEBL3FN;SW3;Barcelona TMA
3CN;LEBLDDX;DDN;Barcelona TMA
3CN;LEBLDDX;DDS;Barcelona TMA
3CN;LEBLDDX;GR3;Barcelona TMA
3CN;LEBLDDX;XAR;Barcelona TMA
3CO;LEBLCORE;BL1;Barcelona TMA
3CO;LEBLCORE;BL2;Barcelona TMA
3CO;LEBLCORE;FEL;Barcelona TMA
3CO;LEBLCORE;FEN;Barcelona TMA
3CO;LEBLCORE;FER;Barcelona TMA
3CO;LEBLCORE;FES;Barcelona TMA
3CO;LEBLCORE;FWL;Barcelona TMA
3CO;LEBLCORE;FWR;Barcelona TMA
3CO;LEBLCORE;GARI;Barcelona TMA
3CO;LEBLCORE;GONA;Barcelona TMA
3CO;LEBLCORE;GR1;Barcelona TMA
3CO;LEBLCORE;GR2;Barcelona TMA
3CO;LEBLCORE;NW4;Barcelona TMA
3CO;LEBLCORE;SABA;Barcelona TMA
3CO;LEBLCORE;SW3;Barcelona TMA
3CO;LEBLCORE;VIBI;Barcelona TMA
3CO;LEBLDDI;DDN;Barcelona TMA
3CO;LEBLDDI;DDS;Barcelona TMA
3CO;LEBLXAL;GR3;Barcelona TMA
3CO;LEBLXAL;XAR;Barcelona TMA
3CW;LEBL14W;BL1;Barcelona TMA
3CW;LEBL14W;FEL;Barcelona TMA
3CW;LEBL14W;GONA;Barcelona TMA
3CW;LEBL14W;GR1;Barcelona TMA
3CW;LEBL14W;NW4;Barcelona TMA
3CW;LEBL14W;SABA;Barcelona TMA
3CW;LEBL23FW;BL2;Barcelona TMA
3CW;LEBL23FW;FEN;Barcelona TMA
3CW;LEBL23FW;FER;Barcelona TMA
3CW;LEBL23FW;FES;Barcelona TMA
3CW;LEBL23FW;FWL;Barcelona TMA
3CW;LEBL23FW;FWR;Barcelona TMA
3CW;LEBL23FW;GARI;Barcelona TMA
3CW;LEBL23FW;GR2;Barcelona TMA
3CW;LEBL23FW;SW3;Barcelona TMA
3CW;LEBL23FW;VIBI;Barcelona TMA
3CW;LEBLDDX;DDN;Barcelona TMA
3CW;LEBLDDX;DDS;Barcelona TMA
3CW;LEBLDDX;GR3;Barcelona TMA
3CW;LEBLDDX;XAR;Barcelona TMA
3DN;LEBL12XN;BL1;Barcelona TMA
3DN;LEBL12XN;BL2;Barcelona TMA
3DN;LEBL12XN;FWL;Barcelona TMA
3DN;LEBL12XN;FWR;Barcelona TMA
3DN;LEBL12XN;GARI;Barcelona TMA
3DN;LEBL12XN;GR1;Barcelona TMA
3DN;LEBL12XN;GR2;Barcelona TMA
3DN;LEBL12XN;GR3;Barcelona TMA
3DN;LEBL12XN;SABA;Barcelona TMA
3DN;LEBL12XN;VIBI;Barcelona TMA
3DN;LEBL12XN;XAR;Barcelona TMA
3DN;LEBL34DN;DDN;Barcelona TMA
3DN;LEBL34DN;DDS;Barcelona TMA
3DN;LEBL34DN;FEL;Barcelona TMA
3DN;LEBL34DN;FER;Barcelona TMA
3DN;LEBL34DN;GONA;Barcelona TMA
3DN;LEBL34DN;NW4;Barcelona TMA
3DN;LEBL34DN;SW3;Barcelona TMA
3DN;LEBLF02;FEN;Barcelona TMA
3DN;LEBLF02;FES;Barcelona TMA
3DW;LEB12FXW;BL1;Barcelona TMA
3DW;LEB12FXW;BL2;Barcelona TMA
3DW;LEB12FXW;FWL;Barcelona TMA
3DW;LEB12FXW;FWR;Barcelona TMA
3DW;LEB12FXW;GR1;Barcelona TMA
3DW;LEB12FXW;GR2;Barcelona TMA
3DW;LEB12FXW;GR3;Barcelona TMA
3DW;LEB12FXW;SABA;Barcelona TMA
3DW;LEB12FXW;VIBI;Barcelona TMA
3DW;LEB12FXW;XAR;Barcelona TMA
3DW;LEBL34W;FEL;Barcelona TMA
3DW;LEBL34W;FEN;Barcelona TMA
3DW;LEBL34W;FER;Barcelona TMA
3DW;LEBL34W;FES;Barcelona TMA
3DW;LEBL34W;GARI;Barcelona TMA
3DW;LEBL34W;GONA;Barcelona TMA
3DW;LEBL34W;NW4;Barcelona TMA
3DW;LEBL34W;SW3;Barcelona TMA
3DW;LEBLDDI;DDN;Barcelona TMA
3DW;LEBLDDI;DDS;Barcelona TMA
3EW;LEB1234W;BL1;Barcelona TMA
3EW;LEB1234W;BL2;Barcelona TMA
3EW;LEB1234W;FEL;Barcelona TMA
3EW;LEB1234W;FEN;Barcelona TMA
3EW;LEB1234W;FER;Barcelona TMA
3EW;LEB1234W;FES;Barcelona TMA
3EW;LEB1234W;GARI;Barcelona TMA
3EW;LEB1234W;GONA;Barcelona TMA
3EW;LEB1234W;GR1;Barcelona TMA
3EW;LEB1234W;GR2;Barcelona TMA
3EW;LEB1234W;NW4;Barcelona TMA
3EW;LEB1234W;SABA;Barcelona TMA
3EW;LEB1234W;SW3;Barcelona TMA
3EW;LEB1234W;VIBI;Barcelona TMA
3EW;LEBLDDX;DDN;Barcelona TMA
3EW;LEBLDDX;DDS;Barcelona TMA
3EW;LEBLDDX;GR3;Barcelona TMA
3EW;LEBLDDX;XAR;Barcelona TMA
3EW;LEBLF25;FWL;Barcelona TMA
3EW;LEBLF25;FWR;Barcelona TMA
4AE;LEBL12E;BL1;Barcelona TMA
4AE;LEBL12E;BL2;Barcelona TMA
4AE;LEBL12E;FWL;Barcelona TMA
4AE;LEBL12E;FWR;Barcelona TMA
4AE;LEBL12E;GARI;Barcelona TMA
4AE;LEBL12E;GR1;Barcelona TMA
4AE;LEBL12E;GR2;Barcelona TMA
4AE;LEBL34FE;FEL;Barcelona TMA
4AE;LEBL34FE;FEN;Barcelona TMA
4AE;LEBL34FE;FER;Barcelona TMA
4AE;LEBL34FE;FES;Barcelona TMA
4AE;LEBL34FE;GONA;Barcelona TMA
4AE;LEBL34FE;NW4;Barcelona TMA
4AE;LEBL34FE;SABA;Barcelona TMA
4AE;LEBL34FE;SW3;Barcelona TMA
4AE;LEBL34FE;VIBI;Barcelona TMA
4AE;LEBLDDI;DDN;Barcelona TMA
4AE;LEBLDDI;DDS;Barcelona TMA
4AE;LEBLXAL;GR3;Barcelona TMA
4AE;LEBLXAL;XAR;Barcelona TMA
4AN;LEBL124N;BL1;Barcelona TMA
4AN;LEBL124N;BL2;Barcelona TMA
4AN;LEBL124N;FEL;Barcelona TMA
4AN;LEBL124N;FWL;Barcelona TMA
4AN;LEBL124N;FWR;Barcelona TMA
4AN;LEBL124N;GARI;Barcelona TMA
4AN;LEBL124N;GONA;Barcelona TMA
4AN;LEBL124N;GR1;Barcelona TMA
4AN;LEBL124N;GR2;Barcelona TMA
4AN;LEBL124N;NW4;Barcelona TMA
4AN;LEBL124N;SABA;Barcelona TMA
4AN;LEBL124N;VIBI;Barcelona TMA
4AN;LEBL3FN;FEN;Barcelona TMA
4AN;LEBL3FN;FER;Barcelona TMA
4AN;LEBL3FN;FES;Barcelona TMA
4AN;LEBL3FN;SW3;Barcelona TMA
4AN;LEBLDDI;DDN;Barcelona TMA
4AN;LEBLDDI;DDS;Barcelona TMA
4AN;LEBLXAL;GR3;Barcelona TMA
4AN;LEBLXAL;XAR;Barcelona TMA
4AW;LEBL1FIW;BL1;Barcelona TMA
4AW;LEBL1FIW;FWL;Barcelona TMA
4AW;LEBL1FIW;FWR;Barcelona TMA
4AW;LEBL1FIW;GR1;Barcelona TMA
4AW;LEBL1FIW;SABA;Barcelona TMA
4AW;LEBL2XW;BL2;Barcelona TMA
4AW;LEBL2XW;GR2;Barcelona TMA
4AW;LEBL2XW;GR3;Barcelona TMA
4AW;LEBL2XW;VIBI;Barcelona TMA
4AW;LEBL2XW;XAR;Barcelona TMA
4AW;LEBL3DW;DDS;Barcelona TMA
4AW;LEBL3DW;FEN;Barcelona TMA
4AW;LEBL3DW;FER;Barcelona TMA
4AW;LEBL3DW;FES;Barcelona TMA
4AW;LEBL3DW;GARI;Barcelona TMA
4AW;LEBL3DW;SW3;Barcelona TMA
4AW;LEBL4DW;DDN;Barcelona TMA
4AW;LEBL4DW;FEL;Barcelona TMA
4AW;LEBL4DW;GONA;Barcelona TMA
4AW;LEBL4DW;NW4;Barcelona TMA
4BE;LEBL123E;BL1;Barcelona TMA
4BE;LEBL123E;BL2;Barcelona TMA
4BE;LEBL123E;FES;Barcelona TMA
4BE;LEBL123E;FWL;Barcelona TMA
4BE;LEBL123E;FWR;Barcelona TMA
4BE;LEBL123E;GARI;Barcelona TMA
4BE;LEBL123E;GR1;Barcelona TMA
4BE;LEBL123E;GR2;Barcelona TMA
4BE;LEBL123E;SW3;Barcelona TMA
4BE;LEBL123E;VIBI;Barcelona TMA
4BE;LEBL4FIE;FEL;Barcelona TMA
4BE;LEBL4FIE;FEN;Barcelona TMA
4BE;LEBL4FIE;FER;Barcelona TMA
4BE;LEBL4FIE;GONA;Barcelona TMA
4BE;LEBL4FIE;NW4;Barcelona TMA
4BE;LEBL4FIE;SABA;Barcelona TMA
4BE;LEBLDDI;DDN;Barcelona TMA
4BE;LEBLDDI;DDS;Barcelona TMA
4BE;LEBLXAL;GR3;Barcelona TMA
4BE;LEBLXAL;XAR;Barcelona TMA
4BN;LEBL134N;BL1;Barcelona TMA
4BN;LEBL134N;FEL;Barcelona TMA
4BN;LEBL134N;FER;Barcelona TMA
4BN;LEBL134N;FWR;Barcelona TMA
4BN;LEBL134N;GONA;Barcelona TMA
4BN;LEBL134N;GR1;Barcelona TMA
4BN;LEBL134N;NW4;Barcelona TMA
4BN;LEBL134N;SABA;Barcelona TMA
4BN;LEBL134N;SW3;Barcelona TMA
4BN;LEBL2FN;BL2;Barcelona TMA
4BN;LEBL2FN;FEN;Barcelona TMA
4BN;LEBL2FN;FES;Barcelona TMA
4BN;LEBL2FN;FWL;Barcelona TMA
4BN;LEBL2FN;GARI;Barcelona TMA
4BN;LEBL2FN;GR2;Barcelona TMA
4BN;LEBL2FN;VIBI;Barcelona TMA
4BN;LEBLDDI;DDN;Barcelona TMA
4BN;LEBLDDI;DDS;Barcelona TMA
4BN;LEBLXAL;GR3;Barcelona TMA
4BN;LEBLXAL;XAR;Barcelona TMA
4BW;LEBL1FIW;BL1;Barcelona TMA
4BW;LEBL1FIW;FWL;Barcelona TMA
4BW;LEBL1FIW;FWR;Barcelona TMA
4BW;LEBL1FIW;GR1;Barcelona TMA
4BW;LEBL1FIW;SABA;Barcelona TMA
4BW;LEBL2XW;BL2;Barcelona TMA
4BW;LEBL2XW;GR2;Barcelona TMA
4BW;LEBL2XW;GR3;Barcelona TMA
4BW;LEBL2XW;VIBI;Barcelona TMA
4BW;LEBL2XW;XAR;Barcelona TMA
4BW;LEBL34W;FEL;Barcelona TMA
4BW;LEBL34W;FEN;Barcelona TMA
4BW;LEBL34W;FER;Barcelona TMA
4BW;LEBL34W;FES;Barcelona TMA
4BW;LEBL34W;GARI;Barcelona TMA
4BW;LEBL34W;GONA;Barcelona TMA
4BW;LEBL34W;NW4;Barcelona TMA
4BW;LEBL34W;SW3;Barcelona TMA
4BW;LEBLDDI;DDN;Barcelona TMA
4BW;LEBLDDI;DDS;Barcelona TMA
4CE;LEBL124E;BL1;Barcelona TMA
4CE;LEBL124E;BL2;Barcelona TMA
4CE;LEBL124E;FWL;Barcelona TMA
4CE;LEBL124E;FWR;Barcelona TMA
4CE;LEBL124E;GARI;Barcelona TMA
4CE;LEBL124E;GONA;Barcelona TMA
4CE;LEBL124E;GR1;Barcelona TMA
4CE;LEBL124E;GR2;Barcelona TMA
4CE;LEBL124E;NW4;Barcelona TMA
4CE;LEBL124E;SABA;Barcelona TMA
4CE;LEBL3FIE;FEL;Barcelona TMA
4CE;LEBL3FIE;FEN;Barcelona TMA
4CE;LEBL3FIE;FER;Barcelona TMA
4CE;LEBL3FIE;FES;Barcelona TMA
4CE;LEBL3FIE;SW3;Barcelona TMA
4CE;LEBL3FIE;VIBI;Barcelona TMA
4CE;LEBLDDI;DDN;Barcelona TMA
4CE;LEBLDDI;DDS;Barcelona TMA
4CE;LEBLXAL;GR3;Barcelona TMA
4CE;LEBLXAL;XAR;Barcelona TMA
4CN;LEBL12N;BL1;Barcelona TMA
4CN;LEBL12N;BL2;Barcelona TMA
4CN;LEBL12N;FWL;Barcelona TMA
4CN;LEBL12N;FWR;Barcelona TMA
4CN;LEBL12N;GARI;Barcelona TMA
4CN;LEBL12N;GR1;Barcelona TMA
4CN;LEBL12N;GR2;Barcelona TMA
4CN;LEBL12N;SABA;Barcelona TMA
4CN;LEBL12N;VIBI;Barcelona TMA
4CN;LEBL34N;FEL;Barcelona TMA
4CN;LEBL34N;FER;Barcelona TMA
4CN;LEBL34N;GONA;Barcelona TMA
4CN;LEBL34N;NW4;Barcelona TMA
4CN;LEBL34N;SW3;Barcelona TMA
4CN;LEBLDDX;DDN;Barcelona TMA
4CN;LEBLDDX;DDS;Barcelona TMA
4CN;LEBLDDX;GR3;Barcelona TMA
4CN;LEBLDDX;XAR;Barcelona TMA
4CN;LEBLF02;FEN;Barcelona TMA
4CN;LEBLF02;FES;Barcelona TMA
4CW;LEBL134W;BL1;Barcelona TMA
4CW;LEBL134W;FEL;Barcelona TMA
4CW;LEBL134W;FEN;Barcelona TMA
4CW;LEBL134W;FER;Barcelona TMA
4CW;LEBL134W;FES;Barcelona TMA
4CW;LEBL134W;GARI;Barcelona TMA
4CW;LEBL134W;GONA;Barcelona TMA
4CW;LEBL134W;GR1;Barcelona TMA
4CW;LEBL134W;NW4;Barcelona TMA
4CW;LEBL134W;SABA;Barcelona TMA
4CW;LEBL134W;SW3;Barcelona TMA
4CW;LEBL2FIW;BL2;Barcelona TMA
4CW;LEBL2FIW;FWL;Barcelona TMA
4CW;LEBL2FIW;FWR;Barcelona TMA
4CW;LEBL2FIW;GR2;Barcelona TMA
4CW;LEBL2FIW;VIBI;Barcelona TMA
4CW;LEBLDDI;DDN;Barcelona TMA
4CW;LEBLDDI;DDS;Barcelona TMA
4CW;LEBLXAL;GR3;Barcelona TMA
4CW;LEBLXAL;XAR;Barcelona TMA
4DE;LEBL12E;BL1;Barcelona TMA
4DE;LEBL12E;BL2;Barcelona TMA
4DE;LEBL12E;FWL;Barcelona TMA
4DE;LEBL12E;FWR;Barcelona TMA
4DE;LEBL12E;GARI;Barcelona TMA
4DE;LEBL12E;GR1;Barcelona TMA
4DE;LEBL12E;GR2;Barcelona TMA
4DE;LEBL34E;FES;Barcelona TMA
4DE;LEBL34E;GONA;Barcelona TMA
4DE;LEBL34E;NW4;Barcelona TMA
4DE;LEBL34E;SABA;Barcelona TMA
4DE;LEBL34E;SW3;Barcelona TMA
4DE;LEBL34E;VIBI;Barcelona TMA
4DE;LEBLDDX;DDN;Barcelona TMA
4DE;LEBLDDX;DDS;Barcelona TMA
4DE;LEBLDDX;GR3;Barcelona TMA
4DE;LEBLDDX;XAR;Barcelona TMA
4DE;LEBLF07;FEL;Barcelona TMA
4DE;LEBLF07;FEN;Barcelona TMA
4DE;LEBLF07;FER;Barcelona TMA
4DN;LEBL14N;BL1;Barcelona TMA
4DN;LEBL14N;FEL;Barcelona TMA
4DN;LEBL14N;FWR;Barcelona TMA
4DN;LEBL14N;GONA;Barcelona TMA
4DN;LEBL14N;GR1;Barcelona TMA
4DN;LEBL14N;NW4;Barcelona TMA
4DN;LEBL14N;SABA;Barcelona TMA
4DN;LEBL3FN;FEN;Barcelona TMA
4DN;LEBL3FN;FER;Barcelona TMA
4DN;LEBL3FN;FES;Barcelona TMA
4DN;LEBL3FN;SW3;Barcelona TMA
4DN;LEBLDDX;DDN;Barcelona TMA
4DN;LEBLDDX;DDS;Barcelona TMA
4DN;LEBLDDX;GR3;Barcelona TMA
4DN;LEBLDDX;XAR;Barcelona TMA
4DN;LEBLT2N;BL2;Barcelona TMA
4DN;LEBLT2N;FWL;Barcelona TMA
4DN;LEBLT2N;GARI;Barcelona TMA
4DN;LEBLT2N;GR2;Barcelona TMA
4DN;LEBLT2N;VIBI;Barcelona TMA
4DW;LEBL14W;BL1;Barcelona TMA
4DW;LEBL14W;FEL;Barcelona TMA
4DW;LEBL14W;GONA;Barcelona TMA
4DW;LEBL14W;GR1;Barcelona TMA
4DW;LEBL14W;NW4;Barcelona TMA
4DW;LEBL14W;SABA;Barcelona TMA
4DW;LEBL23W;BL2;Barcelona TMA
4DW;LEBL23W;FEN;Barcelona TMA
4DW;LEBL23W;FER;Barcelona TMA
4DW;LEBL23W;FES;Barcelona TMA
4DW;LEBL23W;GARI;Barcelona TMA
4DW;LEBL23W;GR2;Barcelona TMA
4DW;LEBL23W;SW3;Barcelona TMA
4DW;LEBL23W;VIBI;Barcelona TMA
4DW;LEBLDDX;DDN;Barcelona TMA
4DW;LEBLDDX;DDS;Barcelona TMA
4DW;LEBLDDX;GR3;Barcelona TMA
4DW;LEBLDDX;XAR;Barcelona TMA
4DW;LEBLF25;FWL;Barcelona TMA
4DW;LEBLF25;FWR;Barcelona TMA
4EE;LEBL14E;BL1;Barcelona TMA
4EE;LEBL14E;FWR;Barcelona TMA
4EE;LEBL14E;GONA;Barcelona TMA
4EE;LEBL14E;GR1;Barcelona TMA
4EE;LEBL14E;NW4;Barcelona TMA
4EE;LEBL14E;SABA;Barcelona TMA
4EE;LEBL23E;BL2;Barcelona TMA
4EE;LEBL23E;FES;Barcelona TMA
4EE;LEBL23E;FWL;Barcelona TMA
4EE;LEBL23E;GARI;Barcelona TMA
4EE;LEBL23E;GR2;Barcelona TMA
4EE;LEBL23E;SW3;Barcelona TMA
4EE;LEBL23E;VIBI;Barcelona TMA
4EE;LEBLDDX;DDN;Barcelona TMA
4EE;LEBLDDX;DDS;Barcelona TMA
4EE;LEBLDDX;GR3;Barcelona TMA
4EE;LEBLDDX;XAR;Barcelona TMA
4EE;LEBLF07;FEL;Barcelona TMA
4EE;LEBLF07;FEN;Barcelona TMA
4EE;LEBLF07;FER;Barcelona TMA
4EN;LEBL2FN;BL2;Barcelona TMA
4EN;LEBL2FN;FEN;Barcelona TMA
4EN;LEBL2FN;FES;Barcelona TMA
4EN;LEBL2FN;FWL;Barcelona TMA
4EN;LEBL2FN;GARI;Barcelona TMA
4EN;LEBL2FN;GR2;Barcelona TMA
4EN;LEBL2FN;VIBI;Barcelona TMA
4EN;LEBL34N;FEL;Barcelona TMA
4EN;LEBL34N;FER;Barcelona TMA
4EN;LEBL34N;GONA;Barcelona TMA
4EN;LEBL34N;NW4;Barcelona TMA
4EN;LEBL34N;SW3;Barcelona TMA
4EN;LEBLDDX;DDN;Barcelona TMA
4EN;LEBLDDX;DDS;Barcelona TMA
4EN;LEBLDDX;GR3;Barcelona TMA
4EN;LEBLDDX;XAR;Barcelona TMA
4EN;LEBLT1N;BL1;Barcelona TMA
4EN;LEBLT1N;FWR;Barcelona TMA
4EN;LEBLT1N;GR1;Barcelona TMA
4EN;LEBLT1N;SABA;Barcelona TMA
4EW;LEBL12W;BL1;Barcelona TMA
4EW;LEBL12W;BL2;Barcelona TMA
4EW;LEBL12W;GR1;Barcelona TMA
4EW;LEBL12W;GR2;Barcelona TMA
4EW;LEBL12W;SABA;Barcelona TMA
4EW;LEBL12W;VIBI;Barcelona TMA
4EW;LEBL34W;FEL;Barcelona TMA
4EW;LEBL34W;FEN;Barcelona TMA
4EW;LEBL34W;FER;Barcelona TMA
4EW;LEBL34W;FES;Barcelona TMA
4EW;LEBL34W;GARI;Barcelona TMA
4EW;LEBL34W;GONA;Barcelona TMA
4EW;LEBL34W;NW4;Barcelona TMA
4EW;LEBL34W;SW3;Barcelona TMA
4EW;LEBLDDX;DDN;Barcelona TMA
4EW;LEBLDDX;DDS;Barcelona TMA
4EW;LEBLDDX;GR3;Barcelona TMA
4EW;LEBLDDX;XAR;Barcelona TMA
4EW;LEBLF25;FWL;Barcelona TMA
4EW;LEBLF25;FWR;Barcelona TMA
4FE;LEBL14E;BL1;Barcelona TMA
4FE;LEBL14E;FWR;Barcelona TMA
4FE;LEBL14E;GONA;Barcelona TMA
4FE;LEBL14E;GR1;Barcelona TMA
4FE;LEBL14E;NW4;Barcelona TMA
4FE;LEBL14E;SABA;Barcelona TMA
4FE;LEBL3FIE;FEL;Barcelona TMA
4FE;LEBL3FIE;FEN;Barcelona TMA
4FE;LEBL3FIE;FER;Barcelona TMA
4FE;LEBL3FIE;FES;Barcelona TMA
4FE;LEBL3FIE;SW3;Barcelona TMA
4FE;LEBL3FIE;VIBI;Barcelona TMA
4FE;LEBLDDX;DDN;Barcelona TMA
4FE;LEBLDDX;DDS;Barcelona TMA
4FE;LEBLDDX;GR3;Barcelona TMA
4FE;LEBLDDX;XAR;Barcelona TMA
4FE;LEBLT2E;BL2;Barcelona TMA
4FE;LEBLT2E;FWL;Barcelona TMA
4FE;LEBLT2E;GARI;Barcelona TMA
4FE;LEBLT2E;GR2;Barcelona TMA
4FN;LEBL14N;BL1;Barcelona TMA
4FN;LEBL14N;FEL;Barcelona TMA
4FN;LEBL14N;FWR;Barcelona TMA
4FN;LEBL14N;GONA;Barcelona TMA
4FN;LEBL14N;GR1;Barcelona TMA
4FN;LEBL14N;NW4;Barcelona TMA
4FN;LEBL14N;SABA;Barcelona TMA
4FN;LEBL23N;BL2;Barcelona TMA
4FN;LEBL23N;FER;Barcelona TMA
4FN;LEBL23N;FWL;Barcelona TMA
4FN;LEBL23N;GARI;Barcelona TMA
4FN;LEBL23N;GR2;Barcelona TMA
4FN;LEBL23N;SW3;Barcelona TMA
4FN;LEBL23N;VIBI;Barcelona TMA
4FN;LEBLDDX;DDN;Barcelona TMA
4FN;LEBLDDX;DDS;Barcelona TMA
4FN;LEBLDDX;GR3;Barcelona TMA
4FN;LEBLDDX;XAR;Barcelona TMA
4FN;LEBLF02;FEN;Barcelona TMA
4FN;LEBLF02;FES;Barcelona TMA
4FW;LEBL14W;BL1;Barcelona TMA
4FW;LEBL14W;FEL;Barcelona TMA
4FW;LEBL14W;GONA;Barcelona TMA
4FW;LEBL14W;GR1;Barcelona TMA
4FW;LEBL14W;NW4;Barcelona TMA
4FW;LEBL14W;SABA;Barcelona TMA
4FW;LEBL23FW;BL2;Barcelona TMA
4FW;LEBL23FW;FEN;Barcelona TMA
4FW;LEBL23FW;FER;Barcelona TMA
4FW;LEBL23FW;FES;Barcelona TMA
4FW;LEBL23FW;FWL;Barcelona TMA
4FW;LEBL23FW;FWR;Barcelona TMA
4FW;LEBL23FW;GARI;Barcelona TMA
4FW;LEBL23FW;GR2;Barcelona TMA
4FW;LEBL23FW;SW3;Barcelona TMA
4FW;LEBL23FW;VIBI;Barcelona TMA
4FW;LEBLDDI;DDN;Barcelona TMA
4FW;LEBLDDI;DDS;Barcelona TMA
4FW;LEBLXAL;GR3;Barcelona TMA
4FW;LEBLXAL;XAR;Barcelona TMA
4GN;LEBL2XN;BL2;Barcelona TMA
4GN;LEBL2XN;FWL;Barcelona TMA
4GN;LEBL2XN;GARI;Barcelona TMA
4GN;LEBL2XN;GR2;Barcelona TMA
4GN;LEBL2XN;GR3;Barcelona TMA
4GN;LEBL2XN;VIBI;Barcelona TMA
4GN;LEBL2XN;XAR;Barcelona TMA
4GN;LEBL3FN;FEN;Barcelona TMA
4GN;LEBL3FN;FER;Barcelona TMA
